metric,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Revenue,416161.0,391035.0,383285.0,394328.0,365817.0,274515.0,260174.0,265595.0,229234.0
Cost Of Goods Sold,220960.0,210352.0,214137.0,223546.0,212981.0,169559.0,161782.0,163756.0,141048.0
Gross Profit,195201.0,180683.0,169148.0,170782.0,152836.0,104956.0,98392.0,101839.0,88186.0
Research And Development Expenses,34550.0,31370.0,29915.0,26251.0,21914.0,18752.0,16217.0,14236.0,11581.0
SG&A Expenses,27601.0,26097.0,24932.0,25094.0,21973.0,19916.0,18245.0,16705.0,15261.0
Other Operating Income Or Expenses,,,,,,,,,
Operating Expenses,62151.0,57467.0,54847.0,51345.0,43887.0,38668.0,34462.0,30941.0,26842.0
Operating Income,133050.0,123216.0,114301.0,119437.0,108949.0,66288.0,63930.0,70898.0,61344.0
Total Non-Operating Income/Expense,-321.0,269.0,-565.0,-334.0,258.0,803.0,1807.0,2005.0,2745.0
Pre-Tax Income,132729.0,123485.0,113736.0,119103.0,109207.0,67091.0,65737.0,72903.0,64089.0
Income Taxes,20719.0,29749.0,16741.0,19300.0,14527.0,9680.0,10481.0,13372.0,15738.0
Income After Taxes,112010.0,93736.0,96995.0,99803.0,94680.0,57411.0,55256.0,59531.0,48351.0
Other Income,,,,,,,,,
Income From Continuous Operations,112010.0,93736.0,96995.0,99803.0,94680.0,57411.0,55256.0,59531.0,48351.0
Income From Discontinued Operations,,,,,,,,,
Net Income,112010.0,93736.0,96995.0,99803.0,94680.0,57411.0,55256.0,59531.0,48351.0
EBITDA,144748.0,134661.0,125820.0,130541.0,120233.0,77344.0,76477.0,81801.0,71501.0
EBIT,133050.0,123216.0,114301.0,119437.0,108949.0,66288.0,63930.0,70898.0,61344.0
Basic Shares Outstanding,14949.0,15344.0,15744.0,16216.0,16701.0,17352.0,18471.0,19822.0,20869.0
Shares Outstanding,15005.0,15408.0,15813.0,16326.0,16865.0,17528.0,18596.0,20000.0,21007.0
Basic EPS,7.49,6.11,6.16,6.15,5.67,3.31,2.99,3.0,2.32
EPS - Earnings Per Share,7.46,6.08,6.13,6.11,5.61,3.28,2.97,2.98,2.3
