metric,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Revenue,402836.0,350018.0,307394.0,282836.0,257637.0,182527.0,161857.0,136819.0,110855.0
Cost Of Goods Sold,162535.0,146306.0,133332.0,126203.0,110939.0,84732.0,71896.0,59549.0,45583.0
Gross Profit,240301.0,203712.0,174062.0,156633.0,146698.0,97795.0,89961.0,77270.0,65272.0
Research And Development Expenses,61087.0,49326.0,45427.0,39500.0,31562.0,27573.0,26018.0,21419.0,16625.0
SG&A Expenses,50175.0,41996.0,44342.0,42291.0,36422.0,28998.0,28015.0,23256.0,19733.0
Other Operating Income Or Expenses,,,,,,,-1697.0,-5071.0,-2736.0
Operating Expenses,111262.0,91322.0,89769.0,81791.0,67984.0,56571.0,55730.0,49746.0,39094.0
Operating Income,129039.0,112390.0,84293.0,74842.0,78714.0,41224.0,34231.0,27524.0,26178.0
Total Non-Operating Income/Expense,29787.0,7425.0,1424.0,-3514.0,12020.0,6858.0,5394.0,7389.0,1015.0
Pre-Tax Income,158826.0,119815.0,85717.0,71328.0,90734.0,48082.0,39625.0,34913.0,27193.0
Income Taxes,26656.0,19697.0,11922.0,11356.0,14701.0,7813.0,5282.0,4177.0,14531.0
Income After Taxes,132170.0,100118.0,73795.0,59972.0,76033.0,40269.0,34343.0,30736.0,12662.0
Other Income,,,,,,,,,
Income From Continuous Operations,132170.0,100118.0,73795.0,59972.0,76033.0,40269.0,34343.0,30736.0,12662.0
Income From Discontinued Operations,,,,,,,,,
Net Income,132170.0,100118.0,73795.0,59972.0,76033.0,40269.0,34343.0,30736.0,12662.0
EBITDA,150175.0,127701.0,96239.0,88317.0,88987.0,54921.0,46012.0,36559.0,33093.0
EBIT,129039.0,112390.0,84293.0,74842.0,78714.0,41224.0,34231.0,27524.0,26178.0
Basic Shares Outstanding,12116.0,12319.0,12630.0,13063.0,13353.0,13616.0,13852.0,13903.0,13858.0
Shares Outstanding,13079.0,13313.0,13599.0,14046.0,14462.0,14665.0,14902.0,15003.0,15015.0
Basic EPS,10.91,8.13,5.84,4.59,5.69,2.96,2.48,2.21,0.91
EPS - Earnings Per Share,10.81,8.04,5.8,4.56,5.61,2.93,2.46,2.19,0.9
