metric,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Revenue,280345.0,278906.0,239425.0,154792.0,127202.0,129911.0,142515.0,129824.0,114579.0
Cost Of Goods Sold,97898.0,101350.0,81321.0,26097.0,5553.0,9960.0,26795.0,21041.0,13874.0
Gross Profit,182447.0,177556.0,158104.0,128695.0,121649.0,119951.0,115720.0,108783.0,100705.0
Research And Development Expenses,,,,,,,,,
SG&A Expenses,109852.0,102475.0,96492.0,82529.0,62087.0,84136.0,70854.0,68019.0,64805.0
Other Operating Income Or Expenses,,,,,,,,,
Operating Expenses,109852.0,102475.0,96492.0,82529.0,62087.0,84136.0,70854.0,68019.0,64805.0
Operating Income,72595.0,75081.0,61612.0,46166.0,59562.0,35815.0,44866.0,40764.0,35900.0
Total Non-Operating Income/Expense,,,,,,,,,
Pre-Tax Income,72595.0,75081.0,61612.0,46166.0,59562.0,35815.0,44866.0,40764.0,35900.0
Income Taxes,15547.0,16610.0,12060.0,8490.0,11228.0,6684.0,8435.0,8290.0,11459.0
Income After Taxes,57048.0,58471.0,49552.0,37676.0,48334.0,29131.0,36431.0,32474.0,24441.0
Other Income,,,,,,,,,
Income From Continuous Operations,57048.0,58471.0,49552.0,37676.0,48334.0,29131.0,36431.0,32474.0,24441.0
Income From Discontinued Operations,,,,,,,,,
Net Income,57048.0,56868.0,47760.0,35892.0,46503.0,27410.0,34642.0,30709.0,22567.0
EBITDA,,,,,,,,,
EBIT,,,,,,,,,
Basic Shares Outstanding,2777.0,2874.0,2939.0,2966.0,3022.0,3082.0,3222.0,3396.0,3552.0
Shares Outstanding,2782.0,2879.0,2943.0,2970.0,3027.0,3087.0,3230.0,3414.0,3577.0
Basic EPS,20.05,19.79,16.25,12.1,15.39,8.89,10.75,9.04,6.35
EPS - Earnings Per Share,20.02,19.75,16.23,12.09,15.36,8.88,10.72,9.0,6.31
