metric,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Revenue,281724.0,245122.0,211915.0,198270.0,168088.0,143015.0,125843.0,110360.0,96571.0
Cost Of Goods Sold,87831.0,74114.0,65863.0,62650.0,52232.0,46078.0,42910.0,38353.0,34261.0
Gross Profit,193893.0,171008.0,146052.0,135620.0,115856.0,96937.0,82933.0,72007.0,62310.0
Research And Development Expenses,32488.0,29510.0,27195.0,24512.0,20716.0,19269.0,16876.0,14726.0,13037.0
SG&A Expenses,32877.0,32065.0,30334.0,27725.0,25224.0,24709.0,23098.0,22223.0,19942.0
Other Operating Income Or Expenses,,,,,,,,,
Operating Expenses,65365.0,61575.0,57529.0,52237.0,45940.0,43978.0,39974.0,36949.0,33285.0
Operating Income,128528.0,109433.0,88523.0,83383.0,69916.0,52959.0,42959.0,35058.0,29025.0
Total Non-Operating Income/Expense,-4901.0,-1646.0,788.0,333.0,1186.0,77.0,729.0,1416.0,876.0
Pre-Tax Income,123627.0,107787.0,89311.0,83716.0,71102.0,53036.0,43688.0,36474.0,29901.0
Income Taxes,21795.0,19651.0,16950.0,10978.0,9831.0,8755.0,4448.0,19903.0,4412.0
Income After Taxes,101832.0,88136.0,72361.0,72738.0,61271.0,44281.0,39240.0,16571.0,25489.0
Other Income,,,,,,,,,
Income From Continuous Operations,101832.0,88136.0,72361.0,72738.0,61271.0,44281.0,39240.0,16571.0,25489.0
Income From Discontinued Operations,,,,,,,,,
Net Income,101832.0,88136.0,72361.0,72738.0,61271.0,44281.0,39240.0,16571.0,25489.0
EBITDA,162681.0,131720.0,102384.0,97843.0,81602.0,65755.0,54641.0,45319.0,37803.0
EBIT,128528.0,109433.0,88523.0,83383.0,69916.0,52959.0,42959.0,35058.0,29025.0
Basic Shares Outstanding,7433.0,7431.0,7446.0,7496.0,7547.0,7610.0,7673.0,7700.0,7746.0
Shares Outstanding,7465.0,7469.0,7472.0,7540.0,7608.0,7683.0,7753.0,7794.0,7832.0
Basic EPS,13.7,11.86,9.72,9.7,8.12,5.82,5.11,2.15,3.29
EPS - Earnings Per Share,13.64,11.8,9.68,9.65,8.05,5.76,5.06,2.13,3.25
